id,name,genre,record_label,chart_data,tour_data
Q86105,Howard Carpendale,schlager music,,,
Q86229,Milka Hartman,,,,
Q86388,Markus Hinterhäuser,,,,
Q86449,Joseph Leutgeb,classical music,,,
Q86514,Maxim Biller,,,,
Q86777,Peter Horton,pop music,Polydor Records,,
Q86792,Kurt Adler,,,,
Q87168,Miska Hauser,,,,
Q87265,Peter Wolf,,,,
Q87380,Binder & Krieglstein,,,,
Q87612,Peter Klein,,,,
Q87673,Joseph Fischhof,classical music,,,
Q87728,Elmar Brandt,,,,
Q87888,Maximilian Schwedler,,,,
Q87938,Gustav Scheck,,,,
Q87996,Peter Rauhofer,house music,,,
Q88121,Rudolf Gleißner,,,,
Q88593,Herwig Mitteregger,,,,
Q89000,Harald Krassnitzer,,,,
Q89189,Heinz Reincke,,,,
Q89229,Bogdan Bacanu,,,,
Q89300,Friedemann Kupsa,,,,
Q89303,Ernst Zacharias,,,,
Q89496,Christian Brückner,,,,
Q89520,Rosa Mayreder,,,,
Q89905,Marie Soldat-Roeger,,,,
Q90014,Friedemann Layer,,,,
Q90015,Therese Malfatti,,,,
Q90159,Benjamin Schmid,jazz,,,
Q90159,Benjamin Schmid,classical music,,,
Q1450,Bruno Mars,rock music,Universal Motown Records,"Nothin' on You on BET Award for Best Collaboration, Nothin' on You on Grammy Award for Best Rap Song",
Q1450,Bruno Mars,hip-hop,Universal Motown Records,"Nothin' on You on BET Award for Best Collaboration, Nothin' on You on Grammy Award for Best Rap Song",
Q1450,Bruno Mars,pop music,Universal Motown Records,"Nothin' on You on BET Award for Best Collaboration, Nothin' on You on Grammy Award for Best Rap Song",
Q1450,Bruno Mars,soul,Universal Motown Records,"Nothin' on You on BET Award for Best Collaboration, Nothin' on You on Grammy Award for Best Rap Song",
Q1450,Bruno Mars,funk,Universal Motown Records,"Nothin' on You on BET Award for Best Collaboration, Nothin' on You on Grammy Award for Best Rap Song",
Q1450,Bruno Mars,contemporary R&B,Universal Motown Records,"Nothin' on You on BET Award for Best Collaboration, Nothin' on You on Grammy Award for Best Rap Song",
Q1698,Serge Gainsbourg,jazz,Mercury Records,,
Q1698,Serge Gainsbourg,reggae,Mercury Records,,
Q1698,Serge Gainsbourg,rock music,Mercury Records,,
Q1698,Serge Gainsbourg,pop music,Mercury Records,,
Q1698,Serge Gainsbourg,progressive rock,Mercury Records,,
Q1698,Serge Gainsbourg,funk,Mercury Records,,
Q1698,Serge Gainsbourg,cha-cha-cha,Mercury Records,,
Q1698,Serge Gainsbourg,mambo,Mercury Records,,
Q1698,Serge Gainsbourg,chanson,Mercury Records,,
Q1698,Serge Gainsbourg,middle of the road,Mercury Records,,
Q1698,Serge Gainsbourg,jazz,Philips Records,,
Q1698,Serge Gainsbourg,reggae,Philips Records,,
Q1698,Serge Gainsbourg,rock music,Philips Records,,
Q1698,Serge Gainsbourg,pop music,Philips Records,,
Q1698,Serge Gainsbourg,progressive rock,Philips Records,,
Q1698,Serge Gainsbourg,funk,Philips Records,,
Q1698,Serge Gainsbourg,cha-cha-cha,Philips Records,,
Q1698,Serge Gainsbourg,mambo,Philips Records,,
Q1698,Serge Gainsbourg,chanson,Philips Records,,
Q1698,Serge Gainsbourg,middle of the road,Philips Records,,
Q2071,David Lynch,surrealism,,,
Q2071,David Lynch,drama film,,,
Q2071,David Lynch,horror film,,,
Q2071,David Lynch,independent film,,,
Q2071,David Lynch,experimental film,,,
Q2071,David Lynch,surrealist cinema,,,
Q2071,David Lynch,neo-noir,,,
Q2071,David Lynch,thriller film,,,
Q2071,David Lynch,psychological horror film,,,
Q2071,David Lynch,psychological thriller film,,,
Q2599,Paul McCartney,rock and roll,Columbia Records,"The Girl Is Mine on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Song of the Year",
Q2599,Paul McCartney,classical music,Columbia Records,"The Girl Is Mine on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Song of the Year",
Q2599,Paul McCartney,rock music,Columbia Records,"The Girl Is Mine on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Song of the Year",
Q2599,Paul McCartney,psychedelic rock,Columbia Records,"The Girl Is Mine on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Song of the Year",
Q2599,Paul McCartney,art rock,Columbia Records,"The Girl Is Mine on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Song of the Year",
Q2599,Paul McCartney,pop rock,Columbia Records,"The Girl Is Mine on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Song of the Year",
Q2599,Paul McCartney,beat music,Columbia Records,"The Girl Is Mine on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Song of the Year",
Q2599,Paul McCartney,rock and roll,Capitol Records,"The Girl Is Mine on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Song of the Year",
Q2599,Paul McCartney,classical music,Capitol Records,"The Girl Is Mine on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Song of the Year",
Q2599,Paul McCartney,rock music,Capitol Records,"The Girl Is Mine on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Song of the Year",
Q2599,Paul McCartney,psychedelic rock,Capitol Records,"The Girl Is Mine on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Song of the Year",
Q2599,Paul McCartney,art rock,Capitol Records,"The Girl Is Mine on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Song of the Year",
Q2599,Paul McCartney,pop rock,Capitol Records,"The Girl Is Mine on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Song of the Year",
Q2599,Paul McCartney,beat music,Capitol Records,"The Girl Is Mine on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Song of the Year",
Q2599,Paul McCartney,rock and roll,Parlophone,"The Girl Is Mine on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Song of the Year",
Q2599,Paul McCartney,classical music,Parlophone,"The Girl Is Mine on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Song of the Year",
Q2599,Paul McCartney,rock music,Parlophone,"The Girl Is Mine on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Song of the Year",
Q2599,Paul McCartney,psychedelic rock,Parlophone,"The Girl Is Mine on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Song of the Year",
Q2599,Paul McCartney,art rock,Parlophone,"The Girl Is Mine on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Song of the Year",
Q2599,Paul McCartney,pop rock,Parlophone,"The Girl Is Mine on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Song of the Year",
Q2599,Paul McCartney,beat music,Parlophone,"The Girl Is Mine on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Song of the Year",
Q2599,Paul McCartney,rock and roll,Apple Records,"The Girl Is Mine on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Song of the Year",
Q2599,Paul McCartney,classical music,Apple Records,"The Girl Is Mine on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Song of the Year",
Q2599,Paul McCartney,rock music,Apple Records,"The Girl Is Mine on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Song of the Year",
Q2599,Paul McCartney,psychedelic rock,Apple Records,"The Girl Is Mine on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Song of the Year",
Q2599,Paul McCartney,art rock,Apple Records,"The Girl Is Mine on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Song of the Year",
Q2599,Paul McCartney,pop rock,Apple Records,"The Girl Is Mine on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Song of the Year",
Q2599,Paul McCartney,beat music,Apple Records,"The Girl Is Mine on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Song of the Year",
Q2599,Paul McCartney,rock and roll,Hear Music,"The Girl Is Mine on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Song of the Year",
Q2599,Paul McCartney,classical music,Hear Music,"The Girl Is Mine on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Song of the Year",
Q2599,Paul McCartney,rock music,Hear Music,"The Girl Is Mine on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Song of the Year",
Q2599,Paul McCartney,psychedelic rock,Hear Music,"The Girl Is Mine on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Song of the Year",
Q2599,Paul McCartney,art rock,Hear Music,"The Girl Is Mine on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Song of the Year",
Q2599,Paul McCartney,pop rock,Hear Music,"The Girl Is Mine on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Song of the Year",
Q2599,Paul McCartney,beat music,Hear Music,"The Girl Is Mine on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Best Pop Performance by a Duo or Group with Vocals, Ebony and Ivory on Grammy Award for Song of the Year",
Q2643,George Harrison,rock music,Capitol Records,"All Things Must Pass on Grammy Award for Album of the Year, George Harrison: Living in the Material World on Broadcast Film Critics Association Award for Best Documentary Film, George Harrison: Living in the Material World on BAFTA Award for Best Documentary, George Harrison: Living in the Material World on Directors Guild of America Award for Outstanding Directing – Documentaries",
Q2643,George Harrison,pop music,Capitol Records,"All Things Must Pass on Grammy Award for Album of the Year, George Harrison: Living in the Material World on Broadcast Film Critics Association Award for Best Documentary Film, George Harrison: Living in the Material World on BAFTA Award for Best Documentary, George Harrison: Living in the Material World on Directors Guild of America Award for Outstanding Directing – Documentaries",
Q2643,George Harrison,folk rock,Capitol Records,"All Things Must Pass on Grammy Award for Album of the Year, George Harrison: Living in the Material World on Broadcast Film Critics Association Award for Best Documentary Film, George Harrison: Living in the Material World on BAFTA Award for Best Documentary, George Harrison: Living in the Material World on Directors Guild of America Award for Outstanding Directing – Documentaries",
Q2643,George Harrison,world music,Capitol Records,"All Things Must Pass on Grammy Award for Album of the Year, George Harrison: Living in the Material World on Broadcast Film Critics Association Award for Best Documentary Film, George Harrison: Living in the Material World on BAFTA Award for Best Documentary, George Harrison: Living in the Material World on Directors Guild of America Award for Outstanding Directing – Documentaries",
Q2643,George Harrison,psychedelic rock,Capitol Records,"All Things Must Pass on Grammy Award for Album of the Year, George Harrison: Living in the Material World on Broadcast Film Critics Association Award for Best Documentary Film, George Harrison: Living in the Material World on BAFTA Award for Best Documentary, George Harrison: Living in the Material World on Directors Guild of America Award for Outstanding Directing – Documentaries",
Q2643,George Harrison,beat music,Capitol Records,"All Things Must Pass on Grammy Award for Album of the Year, George Harrison: Living in the Material World on Broadcast Film Critics Association Award for Best Documentary Film, George Harrison: Living in the Material World on BAFTA Award for Best Documentary, George Harrison: Living in the Material World on Directors Guild of America Award for Outstanding Directing – Documentaries",
Q2643,George Harrison,raga rock,Capitol Records,"All Things Must Pass on Grammy Award for Album of the Year, George Harrison: Living in the Material World on Broadcast Film Critics Association Award for Best Documentary Film, George Harrison: Living in the Material World on BAFTA Award for Best Documentary, George Harrison: Living in the Material World on Directors Guild of America Award for Outstanding Directing – Documentaries",
Q2643,George Harrison,rock music,Parlophone,"All Things Must Pass on Grammy Award for Album of the Year, George Harrison: Living in the Material World on Broadcast Film Critics Association Award for Best Documentary Film, George Harrison: Living in the Material World on BAFTA Award for Best Documentary, George Harrison: Living in the Material World on Directors Guild of America Award for Outstanding Directing – Documentaries",
Q2643,George Harrison,pop music,Parlophone,"All Things Must Pass on Grammy Award for Album of the Year, George Harrison: Living in the Material World on Broadcast Film Critics Association Award for Best Documentary Film, George Harrison: Living in the Material World on BAFTA Award for Best Documentary, George Harrison: Living in the Material World on Directors Guild of America Award for Outstanding Directing – Documentaries",
Q2643,George Harrison,folk rock,Parlophone,"All Things Must Pass on Grammy Award for Album of the Year, George Harrison: Living in the Material World on Broadcast Film Critics Association Award for Best Documentary Film, George Harrison: Living in the Material World on BAFTA Award for Best Documentary, George Harrison: Living in the Material World on Directors Guild of America Award for Outstanding Directing – Documentaries",
Q2643,George Harrison,world music,Parlophone,"All Things Must Pass on Grammy Award for Album of the Year, George Harrison: Living in the Material World on Broadcast Film Critics Association Award for Best Documentary Film, George Harrison: Living in the Material World on BAFTA Award for Best Documentary, George Harrison: Living in the Material World on Directors Guild of America Award for Outstanding Directing – Documentaries",
Q2643,George Harrison,psychedelic rock,Parlophone,"All Things Must Pass on Grammy Award for Album of the Year, George Harrison: Living in the Material World on Broadcast Film Critics Association Award for Best Documentary Film, George Harrison: Living in the Material World on BAFTA Award for Best Documentary, George Harrison: Living in the Material World on Directors Guild of America Award for Outstanding Directing – Documentaries",
Q2643,George Harrison,beat music,Parlophone,"All Things Must Pass on Grammy Award for Album of the Year, George Harrison: Living in the Material World on Broadcast Film Critics Association Award for Best Documentary Film, George Harrison: Living in the Material World on BAFTA Award for Best Documentary, George Harrison: Living in the Material World on Directors Guild of America Award for Outstanding Directing – Documentaries",
Q2643,George Harrison,raga rock,Parlophone,"All Things Must Pass on Grammy Award for Album of the Year, George Harrison: Living in the Material World on Broadcast Film Critics Association Award for Best Documentary Film, George Harrison: Living in the Material World on BAFTA Award for Best Documentary, George Harrison: Living in the Material World on Directors Guild of America Award for Outstanding Directing – Documentaries",
Q2643,George Harrison,rock music,Apple Records,"All Things Must Pass on Grammy Award for Album of the Year, George Harrison: Living in the Material World on Broadcast Film Critics Association Award for Best Documentary Film, George Harrison: Living in the Material World on BAFTA Award for Best Documentary, George Harrison: Living in the Material World on Directors Guild of America Award for Outstanding Directing – Documentaries",
Q2643,George Harrison,pop music,Apple Records,"All Things Must Pass on Grammy Award for Album of the Year, George Harrison: Living in the Material World on Broadcast Film Critics Association Award for Best Documentary Film, George Harrison: Living in the Material World on BAFTA Award for Best Documentary, George Harrison: Living in the Material World on Directors Guild of America Award for Outstanding Directing – Documentaries",
Q2643,George Harrison,folk rock,Apple Records,"All Things Must Pass on Grammy Award for Album of the Year, George Harrison: Living in the Material World on Broadcast Film Critics Association Award for Best Documentary Film, George Harrison: Living in the Material World on BAFTA Award for Best Documentary, George Harrison: Living in the Material World on Directors Guild of America Award for Outstanding Directing – Documentaries",
Q2643,George Harrison,world music,Apple Records,"All Things Must Pass on Grammy Award for Album of the Year, George Harrison: Living in the Material World on Broadcast Film Critics Association Award for Best Documentary Film, George Harrison: Living in the Material World on BAFTA Award for Best Documentary, George Harrison: Living in the Material World on Directors Guild of America Award for Outstanding Directing – Documentaries",
Q2643,George Harrison,psychedelic rock,Apple Records,"All Things Must Pass on Grammy Award for Album of the Year, George Harrison: Living in the Material World on Broadcast Film Critics Association Award for Best Documentary Film, George Harrison: Living in the Material World on BAFTA Award for Best Documentary, George Harrison: Living in the Material World on Directors Guild of America Award for Outstanding Directing – Documentaries",
Q2643,George Harrison,beat music,Apple Records,"All Things Must Pass on Grammy Award for Album of the Year, George Harrison: Living in the Material World on Broadcast Film Critics Association Award for Best Documentary Film, George Harrison: Living in the Material World on BAFTA Award for Best Documentary, George Harrison: Living in the Material World on Directors Guild of America Award for Outstanding Directing – Documentaries",
Q2643,George Harrison,raga rock,Apple Records,"All Things Must Pass on Grammy Award for Album of the Year, George Harrison: Living in the Material World on Broadcast Film Critics Association Award for Best Documentary Film, George Harrison: Living in the Material World on BAFTA Award for Best Documentary, George Harrison: Living in the Material World on Directors Guild of America Award for Outstanding Directing – Documentaries",
Q2643,George Harrison,rock music,Vee-Jay Records,"All Things Must Pass on Grammy Award for Album of the Year, George Harrison: Living in the Material World on Broadcast Film Critics Association Award for Best Documentary Film, George Harrison: Living in the Material World on BAFTA Award for Best Documentary, George Harrison: Living in the Material World on Directors Guild of America Award for Outstanding Directing – Documentaries",
Q2643,George Harrison,pop music,Vee-Jay Records,"All Things Must Pass on Grammy Award for Album of the Year, George Harrison: Living in the Material World on Broadcast Film Critics Association Award for Best Documentary Film, George Harrison: Living in the Material World on BAFTA Award for Best Documentary, George Harrison: Living in the Material World on Directors Guild of America Award for Outstanding Directing – Documentaries",
Q2643,George Harrison,folk rock,Vee-Jay Records,"All Things Must Pass on Grammy Award for Album of the Year, George Harrison: Living in the Material World on Broadcast Film Critics Association Award for Best Documentary Film, George Harrison: Living in the Material World on BAFTA Award for Best Documentary, George Harrison: Living in the Material World on Directors Guild of America Award for Outstanding Directing – Documentaries",
Q2643,George Harrison,world music,Vee-Jay Records,"All Things Must Pass on Grammy Award for Album of the Year, George Harrison: Living in the Material World on Broadcast Film Critics Association Award for Best Documentary Film, George Harrison: Living in the Material World on BAFTA Award for Best Documentary, George Harrison: Living in the Material World on Directors Guild of America Award for Outstanding Directing – Documentaries",
Q2643,George Harrison,psychedelic rock,Vee-Jay Records,"All Things Must Pass on Grammy Award for Album of the Year, George Harrison: Living in the Material World on Broadcast Film Critics Association Award for Best Documentary Film, George Harrison: Living in the Material World on BAFTA Award for Best Documentary, George Harrison: Living in the Material World on Directors Guild of America Award for Outstanding Directing – Documentaries",
Q2643,George Harrison,beat music,Vee-Jay Records,"All Things Must Pass on Grammy Award for Album of the Year, George Harrison: Living in the Material World on Broadcast Film Critics Association Award for Best Documentary Film, George Harrison: Living in the Material World on BAFTA Award for Best Documentary, George Harrison: Living in the Material World on Directors Guild of America Award for Outstanding Directing – Documentaries",
Q2643,George Harrison,raga rock,Vee-Jay Records,"All Things Must Pass on Grammy Award for Album of the Year, George Harrison: Living in the Material World on Broadcast Film Critics Association Award for Best Documentary Film, George Harrison: Living in the Material World on BAFTA Award for Best Documentary, George Harrison: Living in the Material World on Directors Guild of America Award for Outstanding Directing – Documentaries",
Q2643,George Harrison,rock music,Dark Horse Records,"All Things Must Pass on Grammy Award for Album of the Year, George Harrison: Living in the Material World on Broadcast Film Critics Association Award for Best Documentary Film, George Harrison: Living in the Material World on BAFTA Award for Best Documentary, George Harrison: Living in the Material World on Directors Guild of America Award for Outstanding Directing – Documentaries",
Q2643,George Harrison,pop music,Dark Horse Records,"All Things Must Pass on Grammy Award for Album of the Year, George Harrison: Living in the Material World on Broadcast Film Critics Association Award for Best Documentary Film, George Harrison: Living in the Material World on BAFTA Award for Best Documentary, George Harrison: Living in the Material World on Directors Guild of America Award for Outstanding Directing – Documentaries",
Q2643,George Harrison,folk rock,Dark Horse Records,"All Things Must Pass on Grammy Award for Album of the Year, George Harrison: Living in the Material World on Broadcast Film Critics Association Award for Best Documentary Film, George Harrison: Living in the Material World on BAFTA Award for Best Documentary, George Harrison: Living in the Material World on Directors Guild of America Award for Outstanding Directing – Documentaries",
Q2643,George Harrison,world music,Dark Horse Records,"All Things Must Pass on Grammy Award for Album of the Year, George Harrison: Living in the Material World on Broadcast Film Critics Association Award for Best Documentary Film, George Harrison: Living in the Material World on BAFTA Award for Best Documentary, George Harrison: Living in the Material World on Directors Guild of America Award for Outstanding Directing – Documentaries",
Q2643,George Harrison,psychedelic rock,Dark Horse Records,"All Things Must Pass on Grammy Award for Album of the Year, George Harrison: Living in the Material World on Broadcast Film Critics Association Award for Best Documentary Film, George Harrison: Living in the Material World on BAFTA Award for Best Documentary, George Harrison: Living in the Material World on Directors Guild of America Award for Outstanding Directing – Documentaries",
Q2643,George Harrison,beat music,Dark Horse Records,"All Things Must Pass on Grammy Award for Album of the Year, George Harrison: Living in the Material World on Broadcast Film Critics Association Award for Best Documentary Film, George Harrison: Living in the Material World on BAFTA Award for Best Documentary, George Harrison: Living in the Material World on Directors Guild of America Award for Outstanding Directing – Documentaries",
Q2643,George Harrison,raga rock,Dark Horse Records,"All Things Must Pass on Grammy Award for Album of the Year, George Harrison: Living in the Material World on Broadcast Film Critics Association Award for Best Documentary Film, George Harrison: Living in the Material World on BAFTA Award for Best Documentary, George Harrison: Living in the Material World on Directors Guild of America Award for Outstanding Directing – Documentaries",
Q2643,George Harrison,rock music,EMI,"All Things Must Pass on Grammy Award for Album of the Year, George Harrison: Living in the Material World on Broadcast Film Critics Association Award for Best Documentary Film, George Harrison: Living in the Material World on BAFTA Award for Best Documentary, George Harrison: Living in the Material World on Directors Guild of America Award for Outstanding Directing – Documentaries",
Q2643,George Harrison,pop music,EMI,"All Things Must Pass on Grammy Award for Album of the Year, George Harrison: Living in the Material World on Broadcast Film Critics Association Award for Best Documentary Film, George Harrison: Living in the Material World on BAFTA Award for Best Documentary, George Harrison: Living in the Material World on Directors Guild of America Award for Outstanding Directing – Documentaries",
Q2643,George Harrison,folk rock,EMI,"All Things Must Pass on Grammy Award for Album of the Year, George Harrison: Living in the Material World on Broadcast Film Critics Association Award for Best Documentary Film, George Harrison: Living in the Material World on BAFTA Award for Best Documentary, George Harrison: Living in the Material World on Directors Guild of America Award for Outstanding Directing – Documentaries",
